ICD9,ICD10
20263,C962
20264,C962
20265,C962
20266,C962
20267,C962
20268,C962
20280,C859
20281,C845
20282,C845
20283,C845
20284,C845
20285,C845
20286,C845
20287,C845
20288,C845
20290,C967
20291,C967
20292,C967
20293,C967
20294,C967
20295,C967
20296,C967
20297,C967
20298,C967
20300,C9000
20301,C9001
20310,C9010
20311,C9011
20380,C8870
20381,C8871
20400,C9100
20401,C9101
20410,C9110
20411,C9111
20420,C9120
20421,C9121
20480,C9170
20481,C9171
20490,C9190
20491,C9191
20500,C9200
20501,C9201
20510,C9210
20511,C9211
20520,C9220
20521,C9221
20530,C9230
20531,C9231
20580,C9270
20581,C9271
20590,C9290
20591,C9291
20600,C9300
20601,C9301
20610,C9310
20611,C9311
20620,C9320
20621,C9321
20680,C9370
20681,C9371
20690,C9390
20691,C9391
20700,C9400
20701,C9401
20710,C9410
20711,C9411
20720,C9420
20721,C9421
20780,C9470
20781,C9471
20800,C9500
20801,C9501
20810,C9510
20811,C9511
20820,C9520
20821,C9521
20880,C9570
20881,C9571
20890,C9590
20891,C9591
2100,D100
2101,D101
2102,D119
2103,D102
2104,D103
2105,D104
2106,D105
2107,D106
2108,D107
2109,D109
2110,D130
2111,D131
2112,D132
2113,D126
2114,D129
2115,D134
2116,D136
2117,D137
2118,D200
2119,D139
2120,D140
2121,D141
2122,D142
2123,D143
2124,D157
2125,D152
2126,D150
2127,D151
2128,D157
2129,D144
21301,D1641
21302,D1642
2131,D165
2132,D166
2133,D167
2134,D160
2135,D161
2136,D168
2137,D162
2138,D163
2139,D169
2140,D170
2141,D173
2142,D174
2143,D175
2144,D176
2148,D177
2149,D179
2150,D210
2152,D211
2153,D212
2154,D213
2155,D214
2156,D215
2157,D216
2158,D219
2159,D219
2160,D220
2161,D221
2162,D222
2163,D223
2164,D224
2165,D225
2166,D226
2167,D227
2168,D239
2169,D229
217,D24
2180,D250
2181,D251
2182,D252
2189,D259
2190,D260
2191,D261
2198,D267
2199,D269
220,D27
2210,D282
2211,D281
2212,D280
2218,D287
2219,D289
2220,D292
2221,D290
2222,D291
2223,D293
2224,D294
2228,D297
2229,D299
2230,D300
2231,D301
2232,D302
2233,D303
22381,D304
22389,D307
2239,D309
2240,D314
2241,D316
2242,D315
2243,D310
2244,D311
2245,D312
2246,D313
2247,D315
2248,D319
2249,D319
2250,D332
2251,D333
2252,D320
2253,D334
2254,D321
2258,D337
2259,D339
226,D34
2270,D350
2271,D351
2273,D352
2274,D354
2275,D355
2276,D356
2278,D357
2279,D359
22800,D1800
22801,D1801
22802,D1802
22803,H350
22804,D1804
22809,D1800
2281,D181
2290,D360
2298,D367
2299,D369
2300,D000
2301,D001
2302,D002
2303,D010
2304,D012
2305,D013
2306,D013
2307,D014
2308,D015
2309,D017
2310,D020
2311,D021
2312,D022
2318,D023
2319,D024
2320,D040
2321,D041
2322,D042
2323,D043
2324,D044
2325,D045
2326,D046
2327,D047
2328,D048
2329,D049
2330,D059
2331,D069
2332,D073
2333,D073
2334,D075
2335,D074
2336,D076
2337,D090
2339,D091
2340,D092
2348,D097
2349,D099
2350,D370
2351,D370
2352,D371
2353,D376
2354,D483
2355,D377
2356,D380
2357,D381
2358,D382
2359,D385
2360,D390
2361,D392
2362,D391
2363,D397
2364,D401
2365,D400
2366,D407
2367,D414
23690,D419
23691,D410
23699,D417
2370,D443
2371,D445
2372,D441
2373,D446
2374,D449
2375,D432
2376,D429
23770,Q850
23771,Q850
23772,Q850
2379,D437
2380,D480
2381,D481
2382,D485
2383,D486
2384,D45
2385,D470
2386,C9020
2387,D477
2388,D487
2389,D489
2390,D379
2391,D386
2392,D480
2393,N648
2394,D414
2395,D417
2396,D432
2397,D449
2398,D487
2399,D489
2400,E040
2409,E049
2410,E041
2411,E042
2419,E049
24200,E050
24201,E050
24210,E051
24211,E051
24220,E052
24221,E052
24230,E052
24231,E052
24240,E053
24241,E053
24280,E058
24281,E058
24290,E059
24291,E059
243,E031
2440,E890
2441,E890
2442,E032
2443,E032
2448,E038
2449,E039
2450,E060
2451,E061
2452,E063
2453,E065
2454,E064
2458,E065
2459,E069
2460,E070
2461,E071
2462,E041
2463,E078
2468,E078
2469,E079
25000,E1190
25001,E1090
25002,E1191
25003,E1091
25010,E1110
25011,E1010
25012,E1111
25013,E1011
25020,E1100
25021,E1000
25022,E1101
25023,E1001
25030,E1100
25031,E1000
25032,E1101
25033,E1001
25040,E1120
25041,E1020
25042,E1121
25043,E1021
25050,E1130
25051,E1030
25052,E1131
25053,E1031
25060,E1140
25061,E1040
25062,E1141
25063,E1041
25070,E1150
25071,E1050
25072,E1151
25073,E1051
25080,E1160
25081,E1060
25082,E1161
25083,E1061
25090,E1180
25091,E1080
25092,E1181
25093,E1081
2510,E15
2511,E161
2512,E162
2513,E891
2514,E163
2515,E164
2518,E168
2519,E169
2520,E213
2521,E209
2528,E214
2529,E215
2530,E220
2531,E228
2532,E230
2533,E230
2534,E230
2535,E232
2536,E233
2537,E893
2538,E236
2539,E237
2540,E320
2541,E321
2548,E328
2549,E329
2550,E249
2551,E269
2552,E259
2553,E270
2554,E274
2555,E274
2556,E275
2558,E278
2559,E279
2560,E280
2561,E288
2562,E894
2563,E283
2564,E282
2568,E288
2569,E289
2570,E290
2571,E895
2572,E298
2578,E298
2579,E299
2580,D448
2581,E318
2588,E318
2589,E319
2590,E300
2591,E301
2592,E340
2593,E342
2594,E343
2598,E348
2599,E349
260,E40
261,E41
262,E43
2630,E440
2631,E441
2632,E45
2638,E46
2639,E46
2640,E500
2641,E501
2642,E502
2643,E503
2644,E504
2645,E505
2646,E506
2647,E507
2648,E508
2649,E509
2650,E511
2651,E518
2652,E52
2660,E530
2661,E531
2662,E538
2669,E539
267,E54
2680,E550
2681,E643
2682,M8389
2689,E559
2690,E561
2691,E568
2692,E569
2693,E618
2698,E638
2699,E639
2700,E720
2701,E700
2702,E708
2703,E710
2704,E721
2705,E708
2706,E722
2707,E728
2708,E728
2709,E729
2710,E740
2711,E742
2712,E741
2713,E739
2714,E748
2718,E748
2719,E749
2720,E780
2721,E781
2722,E782
2723,E783
2724,E784
2725,E786
2726,E881
2727,E756
2728,E788
2729,E789
2730,D890
2731,D472
2732,D891
2733,C8800
2738,C8800
2739,C8800
2740,M1009
27410,M1039
27411,N200
27419,M1039
27481,M1099
27482,M1009
27489,M1049
2749,M1099
2750,E831
2751,E830
2752,E834
2753,E833
2754,E835
2758,E838
2759,E839
2760,E870
2761,E871
2762,E872
2763,E873
2764,E874
2765,E86
2766,E877
2767,E875
2768,E876
2769,E878
27700,E849
27701,E841
27702,E840
27709,E848
2771,E802
2772,E798
27731,E853
27739,E858
2774,E806
2775,E763
2776,E880
2778,E888
2779,E889
27800,E669
27801,E668
2781,E65
2782,E670
2783,E671
2784,E673
2788,E678
27900,D801
27901,D802
27902,D804
27903,D803
27904,D800
27905,D805
27906,D830
27909,D808
27910,D831
27911,D821
27912,D820
27913,D814
27919,D838
2792,D819
2793,D849
2794,M359
2798,D898
2799,D899
2800,D500
2801,D508
2808,D508
2809,D509
2810,D510
2811,D513
2812,D529
2813,D531
2814,D530
2818,D538
